,0,1
0,6.662478666557979e-09,8.522633968475861e-09
1,1.2919066680668621e-08,1.9119095037255614e-08
2,1.5665428538520674e-08,2.508055219258087e-08
3,1.5996374713397558e-08,2.8395893783197782e-08
4,1.4445702981540277e-08,2.9151038069397803e-08
5,1.1398341336215569e-08,2.734522450883746e-08
6,7.3101333179549644e-09,2.3093379246162835e-08
7,2.8758345170127855e-09,1.667218060008713e-08
8,-7.478194929741411e-10,8.616515961488904e-09
9,-1.4621423324580002e-09,5.123606038280747e-10
10,1.210422414377729e-08,2.1234286104185154e-08
11,2.672601958853293e-08,4.0099756112141534e-08
12,3.796423279285533e-08,5.471245744937095e-08
13,4.495748781067743e-08,6.406855668900343e-08
14,4.7338895523878715e-08,6.765157755863133e-08
15,4.5087574737846975e-08,6.525611086380462e-08
16,3.855358459518479e-08,5.697089434363805e-08
17,2.852142565465826e-08,4.322453784171685e-08
18,1.622771549816276e-08,2.4878717816246403e-08
19,3.085907183642693e-09,3.2296458259684017e-09
20,1.8637848751342453e-08,3.453284356259478e-08
21,4.39121448295452e-08,6.53237064460154e-08
22,6.450553409301205e-08,8.959171224636463e-08
23,7.853043921605054e-08,1.0550643297994785e-07
24,8.486726639131061e-08,1.1212478527149041e-07
25,8.306421127773483e-08,1.0905337652314185e-07
26,7.330189639192119e-08,9.630888718855789e-08
27,5.643674676262689e-08,7.437860459028008e-08
28,3.406067155115963e-08,4.444953001023034e-08
29,8.414920814015478e-09,8.682332195332274e-09
30,2.7133640571848163e-08,5.1136374417905326e-08
31,6.577397186644578e-08,9.70580671207237e-08
32,9.761373642277523e-08,1.3281206918768746e-07
33,1.1979326181129458e-07,1.5622998301927265e-07
34,1.3054035095332402e-07,1.6627932793483148e-07
35,1.290076091697417e-07,1.625180671416041e-07
36,1.1516279412572108e-07,1.4483017231750826e-07
37,8.987442907291828e-08,1.1353245509682597e-07
38,5.5175611737046376e-08,6.986314167327783e-08
39,1.4492980815979654e-08,1.6747215108541932e-08
40,3.853643187493404e-08,7.40494950963049e-08
41,9.443070603259208e-08,1.3894310307184918e-07
42,1.4038171837434518e-07,1.8835217661634924e-07
43,1.7249245431998082e-07,2.2030779719523765e-07
44,1.885008474137293e-07,2.3423294160984594e-07
45,1.8727377025767126e-07,2.299010668696787e-07
46,1.6848061772208902e-07,2.0695660200669471e-07
47,1.327380676266865e-07,1.6505744770055112e-07
48,8.229098238631295e-08,1.0472775635033518e-07
49,2.1955847252622007e-08,2.8978111068997883e-08
50,5.4223507006555997e-08,1.0776360343955345e-07
51,1.3302502764285143e-07,1.9628903895653067e-07
52,1.969914475903794e-07,2.6132388906662156e-07
53,2.4130080967518033e-07,3.023974355505834e-07
54,2.6370768300194244e-07,3.204284914387308e-07
55,2.6312030805455924e-07,3.158852251925236e-07
56,2.3876539719819257e-07,2.88030289792222e-07
57,1.903268288182537e-07,2.3501045710368403e-07
58,1.1931705190678938e-07,1.5501611274811054e-07
59,3.170023242088805e-08,4.922586271170167e-08
60,7.638830154410357e-08,1.6007834065084908e-07
61,1.8645011412709716e-07,2.7709227877445737e-07
62,2.7326343206319375e-07,3.582281375778137e-07
63,3.320226603448591e-07,4.075061922788345e-07
64,3.619235400724567e-07,4.291796496092223e-07
65,3.6275246993431874e-07,4.2516616582526097e-07
66,3.331558027800868e-07,3.94257779071427e-07
67,2.7051343723379034e-07,3.3193199481598206e-07
68,1.729812005345064e-07,2.3110233466682216e-07
69,4.534900399683188e-08,8.613007218794407e-08
70,1.0894640369555545e-07,2.455263092265381e-07
71,2.631245822805244e-07,3.937261535152708e-07
72,3.7760215411962463e-07,4.869536215131884e-07
73,4.516200951762881e-07,5.401921908235006e-07
74,4.892304762291107e-07,5.635962358054382e-07
75,4.928315383985942e-07,5.613237031815578e-07
76,4.6061749584795825e-07,5.318865842086743e-07
77,3.856228788275312e-07,4.673451310702591e-07
78,2.5678798966209704e-07,3.513281611577984e-07
79,6.736033745405849e-08,1.597340888880373e-07
80,1.6126942197189193e-07,3.921386857938222e-07
81,3.79516116308093e-07,5.652647468859801e-07
82,5.22427778459711e-07,6.556252967628662e-07
83,6.076512487009226e-07,7.026847454986646e-07
84,6.505699297864846e-07,7.236677228931148e-07
85,6.587481434022624e-07,7.246250835394198e-07
86,6.308858795560673e-07,7.045970763935059e-07
87,5.546095317267207e-07,6.542097372029425e-07
88,4.0124603274680764e-07,5.471149110836746e-07
89,1.1888553089756923e-07,3.188439968968511e-07
90,2.7709384937747514e-07,6.548907630809346e-07
91,5.713008527755189e-07,8.194789821018238e-07
92,7.249954146249628e-07,8.675594376241884e-07
93,8.060241205637275e-07,8.912336386186281e-07
94,8.466749252397201e-07,9.03748344587805e-07
95,8.607243290405322e-07,9.088914884982508e-07
96,8.49587852245889e-07,9.076371844927204e-07
97,8.007135243018738e-07,8.977367460271891e-07
98,6.747750094209838e-07,8.64012561869754e-07
99,3.677100238653862e-07,6.86575038209834e-07
