,0,1
0,8.188796952416099e-10,2.7715928146639105e-09
1,2.3708154861365755e-09,8.024298568462256e-09
2,3.6787306381499966e-09,1.2451088313738451e-08
3,4.6184226319423845e-09,1.5631584292728072e-08
4,5.10810894419859e-09,1.7288984118826e-08
5,5.10810894419859e-09,1.7288984118825996e-08
6,4.618422631942383e-09,1.5631584292728072e-08
7,3.6787306381499946e-09,1.245108831373845e-08
8,2.3708154861365746e-09,8.024298568462256e-09
9,8.188796952416097e-10,2.7715928146639105e-09
10,2.542462685338053e-09,8.605258319605719e-09
11,7.356467097363562e-09,2.4898811714153594e-08
12,1.1404415072783196e-08,3.8599558707881593e-08
13,1.430527357750416e-08,4.841784903155256e-08
14,1.5814013145007742e-08,5.3524352183103135e-08
15,1.581401314500774e-08,5.3524352183103115e-08
16,1.4305273577504157e-08,4.8417849031552545e-08
17,1.140441507278319e-08,3.859955870788159e-08
18,7.3564670973635585e-09,2.4898811714153594e-08
19,2.5424626853380524e-09,8.605258319605719e-09
20,4.536966634162621e-09,1.5355887069473483e-08
21,1.3108175145420737e-08,4.436613126142403e-08
22,2.027718897846281e-08,6.863048577325875e-08
23,2.538424346071953e-08,8.591590094397382e-08
24,2.802865691380267e-08,9.48662234005629e-08
25,2.8028656913802664e-08,9.486622340056287e-08
26,2.5384243460719523e-08,8.591590094397381e-08
27,2.02771889784628e-08,6.863048577325873e-08
28,1.3108175145420731e-08,4.436613126142403e-08
29,4.536966634162618e-09,1.535588706947348e-08
30,7.034195340192655e-09,2.3808045766805906e-08
31,2.0262077872093656e-08,6.857934049016313e-08
32,3.121192223554608e-08,1.0564035218184828e-07
33,3.8925854373882514e-08,1.3174904557314082e-07
34,4.2887714136535386e-08,1.451584170775044e-07
35,4.288771413653538e-08,1.4515841707750437e-07
36,3.89258543738825e-08,1.317490455731408e-07
37,3.121192223554607e-08,1.0564035218184825e-07
38,2.0262077872093642e-08,6.857934049016311e-08
39,7.0341953401926494e-09,2.38080457668059e-08
40,1.0371932194921488e-08,3.510500127511888e-08
41,2.9694018767832978e-08,1.0050283275266544e-07
42,4.538256771869709e-08,1.5360253689405168e-07
43,5.621953766391596e-08,1.9028151209325405e-07
44,6.170863112322871e-08,2.0885998226323568e-07
45,6.170863112322871e-08,2.0885998226323562e-07
46,5.6219537663915956e-08,1.9028151209325397e-07
47,4.538256771869707e-08,1.5360253689405163e-07
48,2.969401876783296e-08,1.005028327526654e-07
49,1.037193219492148e-08,3.510500127511886e-08
50,1.5131446866898078e-08,5.1214127857193487e-08
51,4.275949728652514e-08,1.4472445235439275e-07
52,6.440479220887715e-08,2.1798545055312265e-07
53,7.886109744156982e-08,2.669144836483901e-07
54,8.601864157111642e-08,2.911400176253171e-07
55,8.60186415711164e-08,2.9114001762531705e-07
56,7.886109744156978e-08,2.6691448364839e-07
57,6.440479220887712e-08,2.179854505531226e-07
58,4.27594972865251e-08,1.4472445235439267e-07
59,1.513144686689807e-08,5.121412785719347e-08
60,2.2525804853505175e-08,7.624118565801752e-08
61,6.180773130379619e-08,2.0919539825900245e-07
62,9.061600639068041e-08,3.0670032932230296e-07
63,1.0880141832477438e-07,3.682509543300055e-07
64,1.1748619615117367e-07,3.976455869732032e-07
65,1.1748619615117366e-07,3.9764558697320305e-07
66,1.0880141832477435e-07,3.682509543300055e-07
67,9.061600639068039e-08,3.067003293223029e-07
68,6.180773130379617e-08,2.091953982590024e-07
69,2.2525804853505172e-08,7.624118565801749e-08
70,3.568984609751847e-08,1.2079640217621636e-07
71,9.13296166863587e-08,3.091156257076756e-07
72,1.2745008372803702e-07,4.3136951415643297e-07
73,1.482423733189912e-07,5.017434173873547e-07
74,1.5763852856121267e-07,5.33545788976412e-07
75,1.5763852856121262e-07,5.335457889764119e-07
76,1.4824237331899117e-07,5.017434173873547e-07
77,1.2745008372803702e-07,4.31369514156433e-07
78,9.13296166863587e-08,3.091156257076756e-07
79,3.568984609751847e-08,1.2079640217621633e-07
80,6.459380894881674e-08,2.18625199519072e-07
81,1.4037080561886801e-07,4.7510118824847625e-07
82,1.7961233852000413e-07,6.079186842215524e-07
83,1.99079462666461e-07,6.738074121018678e-07
84,2.0718701621827985e-07,7.012483625849468e-07
85,2.071870162182798e-07,7.012483625849468e-07
86,1.9907946266646094e-07,6.738074121018678e-07
87,1.7961233852000413e-07,6.079186842215524e-07
88,1.4037080561886801e-07,4.7510118824847625e-07
89,6.459380894881674e-08,2.18625199519072e-07
90,1.4690839302966678e-07,4.972284071773338e-07
91,2.2594745832457267e-07,7.647452435600921e-07
92,2.515490020721273e-07,8.513966223979694e-07
93,2.612761226146391e-07,8.843191842341631e-07
94,2.648430574334835e-07,8.963918866979438e-07
95,2.6484305743348357e-07,8.963918866979441e-07
96,2.612761226146391e-07,8.843191842341631e-07
97,2.515490020721273e-07,8.513966223979694e-07
98,2.2594745832457267e-07,7.647452435600921e-07
99,1.4690839302966678e-07,4.972284071773338e-07
