,0,1
0,1.021823591091158e-06,1.0409692966984772e-06
1,1.0371189001818029e-06,1.368005021494393e-06
2,1.029372406810654e-06,1.4312244307451648e-06
3,1.0172540709527033e-06,1.4518503210108047e-06
4,1.0055537089718025e-06,1.4595079387513974e-06
5,9.943234245861491e-07,1.4595096331446168e-06
6,9.826337304252775e-07,1.4518551451002744e-06
7,9.705363073550296e-07,1.4312315445049443e-06
8,9.62820346879794e-07,1.3680128607392657e-06
9,9.781556385005237e-07,1.0409710331121778e-06
10,9.916517824420571e-07,1.0478481915714346e-06
11,1.0112947588750797e-06,1.2136451400904775e-06
12,1.0140861774396587e-06,1.2981795878121965e-06
13,1.0099097255835558e-06,1.3386315751400684e-06
14,1.003434112040805e-06,1.3551977496699655e-06
15,9.964707562529079e-07,1.3551984651930392e-06
16,9.900038839928559e-07,1.3386333324657574e-06
17,9.858444968155722e-07,1.298181080457944e-06
18,9.886605385214019e-07,1.2136436163715886e-06
19,1.0083346780279813e-06,1.0478379494689247e-06
20,9.93081527358591e-07,1.0413347548821371e-06
21,1.0023732564960694e-06,1.140489601177148e-06
22,1.0057683334710608e-06,1.2091822094005303e-06
23,1.0048608787133397e-06,1.2492783161327423e-06
24,1.0018007491234e-06,1.267438495602888e-06
25,9.98123105236523e-07,1.2674386219876918e-06
26,9.950702088487039e-07,1.2492783145150699e-06
27,9.941767367216687e-07,1.2091808343706755e-06
28,9.97591546197469e-07,1.1404844176077623e-06
29,1.0069070672047871e-06,1.0413216132427965e-06
30,9.949658484465335e-07,1.0324821693836238e-06
31,9.99376190415562e-07,1.0977775916713037e-06
32,1.0017632660712277e-06,1.1487604837013147e-06
33,1.0019676252224341e-06,1.181843824720098e-06
34,1.000785438089597e-06,1.1978246284379304e-06
35,9.99150162453635e-07,1.1978245467196867e-06
36,9.979741845714952e-07,1.1818433102775658e-06
37,9.981904444863967e-07,1.1487586770436125e-06
38,1.0005940531292828e-06,1.0977728986139918e-06
39,1.0050238995435318e-06,1.0324720857436593e-06
40,9.96175182769031e-07,1.0243989829045433e-06
41,9.984189778471822e-07,1.069369597080334e-06
42,9.999506770777378e-07,1.1062257746863868e-06
43,1.000465473051993e-06,1.1314990731298334e-06
44,1.0002244998792289e-06,1.1441793317387204e-06
45,9.997166312662964e-07,1.1441793113237839e-06
46,9.994813613600267e-07,1.1314989056671406e-06
47,1.0000070359027874e-06,1.1062251309721552e-06
48,1.001553729761376e-06,1.0693678989848184e-06
49,1.0038150544013638e-06,1.0243953833776136e-06
50,9.969968204425676e-07,1.0177404894762445e-06
51,9.981847178854082e-07,1.0490711366147665e-06
52,9.991626517629595e-07,1.0752659685555656e-06
53,9.997233453949319e-07,1.0937381803541314e-06
54,9.999317924197663e-07,1.1032048327316101e-06
55,1.0000091598521842e-06,1.103204979853677e-06
56,1.0002233323039484e-06,1.0937386891161092e-06
57,1.0007949418399672e-06,1.0752670659611426e-06
58,1.0017879133722921e-06,1.0490732805460083e-06
59,1.002993385401378e-06,1.0177444674507101e-06
60,9.975655600595462e-07,1.0124082231199747e-06
61,9.981680089121207e-07,1.0339053196766356e-06
62,9.987976343297363e-07,1.0520234951669231e-06
63,9.993369350302998e-07,1.0649763779668768e-06
64,9.997713076271321e-07,1.0716898909549623e-06
65,1.0001637340757304e-06,1.0716901381377196e-06
66,1.0006043894125916e-06,1.0649773357378095e-06
67,1.0011557124094455e-06,1.052025875553851e-06
68,1.0018020036362236e-06,1.033910517952779e-06
69,1.002424084297169e-06,1.0124185921153158e-06
70,9.979272078047577e-07,1.0081147789063892e-06
71,9.981296906696858e-07,1.0221163178983834e-06
72,9.985272936237265e-07,1.0339427818472922e-06
73,9.99058169430045e-07,1.04244948569216e-06
74,9.996536846261294e-07,1.046883321346226e-06
75,1.0002691572369734e-06,1.0468834521605468e-06
76,1.0008720559708907e-06,1.042450179891997e-06
77,1.0014171570308908e-06,1.0339450492465092e-06
78,1.0018347320307097e-06,1.0221222171847442e-06
79,1.0020611769830816e-06,1.008128033316097e-06
80,9.98108011879618e-07,1.0045765208517878e-06
81,9.979005231174605e-07,1.0125010716573122e-06
82,9.981270365147917e-07,1.0191795511565666e-06
83,9.987168927433334e-07,1.0239925180986844e-06
84,9.99516829222582e-07,1.0265071835913782e-06
85,1.0003864221692826e-06,1.0265068958808295e-06
86,1.0011953852853098e-06,1.0239919378189607e-06
87,1.0018027655359123e-06,1.019179645410279e-06
88,1.0020543150520117e-06,1.0125039473925088e-06
89,1.0018780373606342e-06,1.0045866751038263e-06
90,9.98389414555057e-07,1.0016172181406914e-06
91,9.972407776614327e-07,1.0041313045045753e-06
92,9.973661112921516e-07,1.0062805187638444e-06
93,9.981672508981173e-07,1.0078320880760808e-06
94,9.99310905559493e-07,1.0086440176267911e-06
95,1.0005637205885487e-06,1.0086430278427146e-06
96,1.0017185749655802e-06,1.0078292642575782e-06
97,1.0025415241126236e-06,1.0062763301594759e-06
98,1.0026982968965748e-06,1.0041266570981612e-06
99,1.0015899362993544e-06,1.0016153495411223e-06
