,0,1
0,1.005073067910181e-06,1.0822829074607655e-06
1,9.997869716596093e-07,1.0379061989878027e-06
2,9.987470721681705e-07,1.0200593602947763e-06
3,9.99386173562985e-07,1.0119757081946962e-06
4,1.0004977480823628e-06,1.0083629226887038e-06
5,1.0017314746421244e-06,1.0079394028626473e-06
6,1.002895177133896e-06,1.0113980302961013e-06
7,1.0034179943716396e-06,1.0212871939323771e-06
8,1.0016316703320852e-06,1.04281078684312e-06
9,9.94205204769545e-07,1.086440626221575e-06
10,1.0020002939536333e-06,1.0525920073568272e-06
11,1.0068073926543585e-06,1.0356628620409706e-06
12,1.0056858725498232e-06,1.02200288908665e-06
13,1.0042431132731358e-06,1.0144865751081239e-06
14,1.0031502181301208e-06,1.0112905868796089e-06
15,1.0020356315762351e-06,1.011651829803036e-06
16,1.00041165639778e-06,1.0161114471025893e-06
17,9.98031251900227e-07,1.02634157469143e-06
18,9.957350585263301e-07,1.0442578454498797e-06
19,9.982640087816474e-07,1.0660275499741706e-06
20,1.0012941602595883e-06,1.037130346557496e-06
21,1.0058622617878139e-06,1.030413905802237e-06
22,1.0066267241745512e-06,1.0220946893410362e-06
23,1.0056830022003927e-06,1.0164642932531355e-06
24,1.0041569228744343e-06,1.0141844983574926e-06
25,1.0022571362041333e-06,1.01531498604753e-06
26,9.999745080562936e-07,1.0202302633345452e-06
27,9.976643728002917e-07,1.0294911618577823e-06
28,9.966576956774956e-07,1.0426998150136703e-06
29,9.990657699593225e-07,1.0557462182155433e-06
30,1.0008107425628869e-06,1.028519666171134e-06
31,1.0042272854731232e-06,1.0254561802890617e-06
32,1.0056401023570703e-06,1.0207386946203006e-06
33,1.0054293481973484e-06,1.0172522688627012e-06
34,1.0042728397641445e-06,1.0161911617978923e-06
35,1.0025667072799914e-06,1.0180305594708409e-06
36,1.0005956783528009e-06,1.0230195682770478e-06
37,9.988560315589042e-07,1.0310715448385333e-06
38,9.98243932612745e-07,1.0411107717371612e-06
39,9.995745023748375e-07,1.0502021058533743e-06
40,1.0004717305635312e-06,1.0229819987236276e-06
41,1.0029619866098706e-06,1.0212538596137773e-06
42,1.0043943977454654e-06,1.0187033184423175e-06
43,1.004644019612674e-06,1.0169616209393624e-06
44,1.0040298232113041e-06,1.017053111800196e-06
45,1.002893388279425e-06,1.0195244632283034e-06
46,1.0015409413106602e-06,1.0245550667739712e-06
47,1.0003253321510645e-06,1.0318161479803788e-06
48,9.996849610590567e-07,1.0401205461652142e-06
49,9.99971474183533e-07,1.047234693514115e-06
50,1.0002288804838868e-06,1.0187826197289888e-06
51,1.0020704850009411e-06,1.0176183134752414e-06
52,1.0033101517369255e-06,1.0163520815883356e-06
53,1.0037770030883971e-06,1.015841354204339e-06
54,1.0036319618428408e-06,1.0168309156566614e-06
55,1.0031247089764444e-06,1.019828136741921e-06
56,1.0024657688452447e-06,1.0250267592014595e-06
57,1.0017630057045404e-06,1.0321036940477963e-06
58,1.0010180409835942e-06,1.0398755091299158e-06
59,1.0003185978478023e-06,1.04611055650563e-06
60,1.0000383252619434e-06,1.0151231121733663e-06
61,1.0014119920959758e-06,1.0143038936993513e-06
62,1.0023817497982499e-06,1.0138263402109696e-06
63,1.00287783401752e-06,1.014106951472189e-06
64,1.003038711767887e-06,1.0156805117624825e-06
65,1.0030759900629982e-06,1.019034646873897e-06
66,1.00313303475611e-06,1.02449698582616e-06
67,1.0030958930478337e-06,1.0319923269906035e-06
68,1.00244230252646e-06,1.0404610256642197e-06
69,1.0006917054117375e-06,1.0469727395763913e-06
70,9.998689858311411e-07,1.011595866200891e-06
71,1.0008677603897533e-06,1.0111539730017288e-06
72,1.001498188137648e-06,1.0112138544458409e-06
73,1.001844765416514e-06,1.0119527946202586e-06
74,1.0020788923643986e-06,1.0137921260355292e-06
75,1.002436387498746e-06,1.0172362206902008e-06
76,1.0031228718647677e-06,1.0228556234284935e-06
77,1.0040238476230408e-06,1.0311806819846702e-06
78,1.004084866133455e-06,1.0418879303107196e-06
79,1.0011853428906033e-06,1.051050843988151e-06
80,9.99656688866474e-07,1.0078816652572134e-06
81,1.0003249324036893e-06,1.0081164924201892e-06
82,1.000557199738179e-06,1.0086167654685516e-06
83,1.0006023242306811e-06,1.0095855392354677e-06
84,1.0006134370028504e-06,1.0114296731256355e-06
85,1.0008304763325428e-06,1.0146413345243538e-06
86,1.0016084076020727e-06,1.0199946729877975e-06
87,1.0032689496166238e-06,1.0289201682381148e-06
88,1.0052019168055142e-06,1.0435888634705783e-06
89,1.00200297768946e-06,1.0616438541358717e-06
90,9.989241819687353e-07,1.0034806657403507e-06
91,9.99437959939226e-07,1.0051875478240264e-06
92,9.995079965552042e-07,1.0060853153845519e-06
93,9.992819004320015e-07,1.0071849935724496e-06
94,9.988344271236453e-07,1.0089528372419633e-06
95,9.982447074188196e-07,1.0118035710364105e-06
96,9.976693676678386e-07,1.0164762664123162e-06
97,9.975723264414475e-07,1.0248411401309683e-06
98,9.993348316423326e-07,1.042341626616971e-06
99,1.005865258160151e-06,1.0857214448901477e-06
